"System_ID","FIPS","System_Name","FTE_Reported_on_2025_QBE_Allotment","Local_Revenues","Per_FTE_Local","X_Local","State_Revenues","Per_FTE_State","X_State","Federal_Revenues","Per_FTE_Federal","X_Federal","Total_Revenues","Per_FTE_Total_Revenues","Instruction","Per_FTE_Instruction","Pupil_Services","Per_FTE_Pupil_Services","Staff_Services","X","Per_FTE_Staff_Services","General_Administration","Per_FTE_General_Administration","School_Administration","Per_FTE_School_Administration","Transportation","Per_FTE_Transportation","Maintenance_Operation","Per_FTE_Maintenance_Operation","Total_Expenditure","Per_FTE_total_Expenditure"
"626","13039","Chattahoochee County","921","2,295,056.92","2,491.92","13.84","11,128,965.08","12,083.57","67.1","3,161,053.37","3,432.20","19.06","16,585,075.37","18,007.69","7,802,342.54","8,471.60","950,748.64","1,032.30","622,778.43","","676.2","983,940.62","1,068.34","1,310,518.89","1,422.93","873,392.37","948.31","1,834,619.90","1,991.99","14,378,341.39","15,611.67"
"627","13043","Chattooga County","2,592","11,682,236.83","4,507.04","30.22","24,179,060.75","9,328.34","62.55","2,795,124.26","1,078.37","7.23","38,656,421.84","14,913.75","21,874,506.80","8,439.24","1,824,951.20","704.07","2,496,231.06","","963.05","1,667,973.00","643.51","1,995,069.82","769.7","2,359,673.16","910.37","3,113,257.96","1,201.10","35,331,663.00","13,631.04"
"628","13045","Cherokee County","43,079","312,811,039.54","7,261.33","50","296,052,217.05","6,872.31","47.32","16,727,154.10","388.29","2.67","625,590,410.69","14,521.93","403,009,936.92","9,355.14","35,081,023.31","814.34","32,577,636.21","","756.23","14,415,048.30","334.62","35,280,495.32","818.97","32,967,435.82","765.28","50,797,364.82","1,179.17","604,128,940.70","14,023.75"
"629","13045","Clarke County","12,135","151,134,977.81","12,454.47","58.25","90,830,116.42","7,484.97","35.01","17,486,776.54","1,441.02","6.74","259,451,870.77","21,380.46","151,859,446.37","12,514.17","18,084,857.39","1,490.31","19,867,599.49","","1,637.21","10,436,887.26","860.06","14,105,400.15","1,162.37","15,054,180.25","1,240.56","27,536,493.85","2,269.18","256,944,864.76","21,173.86"
"630","13047","Clay County","173","1,851,716.74","10,703.56","29.61","2,666,153.41","15,411.29","42.64","1,735,402.43","10,031.23","27.75","6,253,272.58","36,146.08","3,239,062.03","18,722.90","406,084.82","2,347.31","820,331.61","","4,741.80","801,996.32","4,635.82","486,722.63","2,813.43","275,041.01","1,589.83","438,539.31","2,534.91","6,467,777.73","37,386.00"
"631","13049","Clayton County","51,724","267,928,111.55","5,179.96","34.69","419,899,662.66","8,118.08","54.36","84,587,610.46","1,635.36","10.95","772,415,384.67","14,933.40","469,634,149.94","9,079.62","55,375,455.36","1,070.59","57,666,759.61","","1,114.89","41,002,516.81","792.72","43,445,072.79","839.94","47,740,692.27","922.99","75,328,860.79","1,456.36","790,193,507.57","15,277.11"
"632","13051","Clinch County","1,173","6,184,097.00","5,272.03","31.05","12,297,441.05","10,483.75","61.74","1,435,437.35","1,223.73","7.21","19,916,975.40","16,979.51","11,240,515.68","9,582.71","1,314,658.12","1,120.77","965,631.82","","823.22","910,848.45","776.51","868,171.38","740.13","839,854.84","715.99","1,938,082.49","1,652.24","18,077,762.78","15,411.57"
"633","13053","Cobb County","109,011","895,759,146.90","8,217.14","52.14","748,779,304.79","6,868.84","43.58","73,511,630.36","674.35","4.28","1,718,050,082.05","15,760.33","1,215,100,163.07","11,146.58","50,649,044.20","464.62","85,643,362.07","","785.64","76,737,494.02","703.94","108,364,903.28","994.07","84,989,729.01","779.64","113,894,119.85","1,044.79","1,735,378,815.50","15,919.28"
"634","13055","Coffee County","7,450","20,669,404.09","2,774.42","19.83","72,999,210.03","9,798.55","70.05","10,545,893.98","1,415.56","10.12","104,214,508.10","13,988.53","63,041,190.12","8,461.90","7,376,131.61","990.08","6,202,770.30","","832.59","2,955,770.51","396.75","7,212,788.41","968.16","6,308,479.96","846.78","8,042,089.21","1,079.48","101,139,220.12","13,575.74"
"635","13055","Colquitt County","8,778","26,861,094.13","3,060.05","19.52","100,941,385.93","11,499.36","73.35","9,811,113.35","1,117.69","7.13","137,613,593.41","15,677.10","82,797,352.22","9,432.37","8,207,565.89","935.02","10,468,940.27","","1,192.63","3,123,778.64","355.86","6,810,853.91","775.9","4,762,384.95","542.54","13,122,190.30","1,494.90","129,293,066.18","14,729.22"
