,,,,,,,,,,,,,
"Georgia Department of Education

School System Revenues
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Records are sorted in Ascending order by System_id,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
System ID,System Name,FTE Reported on 2025 QBE Allotment,Local Revenues,Per FTE Local,% Local,State Revenues,Per FTE State,% State,Federal Revenues,Per FTE Federal,% Federal,Total Revenues,Per FTE Total Revenues
 722,Rockdale County,"15,298","108,506,456.60","7,092.85",44.89,"115,507,237.74","7,550.48",47.79,"17,686,512.56","1,156.13",7.32,"241,700,206.90","15,799.46"
 723,Schley County,"1,183","3,285,965.58","2,777.65",19.76,"12,602,787.45","10,653.24",75.77,"744,748.11",629.54,4.48,"16,633,501.14","14,060.43"
 724,Screven County,"1,990","9,194,150.21","4,620.18",31.67,"17,250,919.88","8,668.80",59.43,"2,582,534.62","1,297.76",8.90,"29,027,604.71","14,586.74"
 725,Seminole County,"1,287","6,759,307.08","5,251.99",31.15,"12,553,671.73","9,754.21",57.86,"2,382,831.91","1,851.46",10.98,"21,695,810.72","16,857.66"
 726,Griffin-Spalding County,"8,974","49,736,569.20","5,542.30",37.32,"69,383,000.77","7,731.56",52.06,"14,146,336.49","1,576.37",10.62,"133,265,906.46","14,850.23"
 727,Stephens County,"3,705","14,989,120.62","4,045.65",29.79,"32,396,336.31","8,743.95",64.39,"2,926,961.53",790.00,5.82,"50,312,418.46","13,579.60"
 728,Stewart County,320,"3,179,430.19","9,935.72",35.48,"3,751,006.53","11,721.90",41.86,"2,030,758.09","6,346.12",22.66,"8,961,194.81","28,003.74"
 729,Sumter County,"3,442","16,640,701.26","4,834.60",26.12,"29,863,958.70","8,676.34",46.87,"17,207,131.17","4,999.17",27.01,"63,711,791.13","18,510.11"
 730,Talbot County,349,"4,610,704.59","13,211.19",45.51,"3,443,123.84","9,865.68",33.99,"2,077,024.13","5,951.36",20.50,"10,130,852.56","29,028.23"
 731,Taliaferro County,184,"1,569,039.60","8,527.39",29.04,"3,100,589.90","16,851.03",57.40,"732,470.13","3,980.82",13.56,"5,402,099.63","29,359.24"
 732,Tattnall County,"3,374","10,073,242.48","2,985.55",20.45,"34,379,012.68","10,189.39",69.79,"4,807,827.05","1,424.96",9.76,"49,260,082.21","14,599.90"
 733,Taylor County,"1,131","5,790,723.96","5,120.00",28.56,"12,242,474.35","10,824.47",60.38,"2,243,383.78","1,983.54",11.06,"20,276,582.09","17,928.01"
 734,Telfair County,"1,448","5,466,781.68","3,775.40",24.49,"14,972,888.21","10,340.39",67.07,"1,884,350.93","1,301.35",8.44,"22,324,020.82","15,417.14"
 735,Terrell County,896,"6,736,600.32","7,518.53",34.73,"7,920,288.56","8,839.61",40.83,"4,740,946.22","5,291.23",24.44,"19,397,835.10","21,649.37"
 736,Thomas County,"5,534","22,045,658.70","3,983.68",23.99,"63,624,116.38","11,496.95",69.23,"6,233,393.11","1,126.38",6.78,"91,903,168.19","16,607.01"
 737,Tift County,"7,297","28,697,857.13","3,932.83",29.12,"63,399,338.96","8,688.41",64.34,"6,447,274.92",883.55,6.54,"98,544,471.01","13,504.79"
 738,Toombs County,"3,002","11,416,813.25","3,803.07",25.43,"29,380,531.20","9,786.99",65.43,"4,105,219.25","1,367.49",9.14,"44,902,563.70","14,957.55"
 739,Towns County,920,"12,370,136.42","13,445.80",66.43,"5,598,758.12","6,085.61",30.07,"652,608.28",709.36,3.50,"18,621,502.82","20,240.77"
 740,Treutlen County,963,"3,756,001.27","3,900.31",21.57,"11,464,978.02","11,905.48",65.85,"2,189,230.66","2,273.34",12.57,"17,410,209.95","18,079.13"
 741,Troup County,"11,939","73,143,130.25","6,126.40",39.56,"96,106,837.28","8,049.82",51.98,"15,627,284.47","1,308.93",8.45,"184,877,252.00","15,485.15"
 742,Turner County,"1,054","4,654,680.94","4,416.21",24.70,"11,197,606.40","10,623.91",59.43,"2,989,860.53","2,836.68",15.87,"18,842,147.87","17,876.80"
 743,Twiggs County,702,"6,639,673.98","9,458.23",47.95,"6,081,172.88","8,662.64",43.92,"1,125,564.72","1,603.37",8.13,"13,846,411.58","19,724.24"
 744,Union County,"2,905","25,355,391.89","8,728.19",51.16,"20,984,546.08","7,223.60",42.34,"3,216,214.72","1,107.13",6.49,"49,556,152.69","17,058.92"
 745,Thomaston-Upson County,"3,885","16,181,630.90","4,165.16",28.88,"34,884,319.42","8,979.23",62.26,"4,964,859.86","1,277.96",8.86,"56,030,810.18","14,422.35"
 746,Walker County,"8,103","43,900,587.90","5,417.82",32.07,"83,856,674.97","10,348.84",61.26,"9,136,037.25","1,127.49",6.67,"136,893,300.12","16,894.15"
