"Georgia Department of Education

School System Expenditures
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,,,,,,,,
,"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Records are sorted in Ascending order by System_id,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,System ID,System Name,FTE Reported on 2025 QBE Allotment,Instruction,Per FTE Instruction,Pupil Services,Per FTE Pupil Services,Staff Services,,Per FTE Staff Services,General Administration,Per FTE General Administration,School Administration,Per FTE School Administration,Transportation,Per FTE Transportation,Maintenance & Operation,Per FTE Maintenance & Operation,Total Expenditure,Per FTE total Expenditure
, 662,Glascock County,548,"5,248,363.58","9,577.31","688,334.27","1,256.08","560,410.42",,"1,022.65","932,621.50","1,701.86","372,193.18",679.18,"432,494.72",789.22,"999,804.97","1,824.46","9,234,222.64","16,850.76"
, 663,Glynn County,"12,701","129,182,133.79","10,171.02","7,256,845.98",571.36,"9,806,568.27",,772.11,"5,801,865.41",456.80,"11,021,478.76",867.76,"8,739,318.17",688.08,"19,260,560.62","1,516.46","191,068,771.00","15,043.59"
, 664,Gordon County,"6,104","54,071,041.99","8,858.30","3,693,015.10",605.02,"4,130,656.95",,676.71,"3,746,985.24",613.86,"5,925,738.17",970.80,"4,773,120.74",781.97,"8,044,841.96","1,317.96","84,385,400.15","13,824.62"
, 665,Grady County,"4,381","34,120,371.91","7,788.26","2,336,604.83",533.35,"3,463,154.42",,790.49,"1,267,693.13",289.36,"3,304,477.83",754.27,"1,964,317.15",448.37,"4,971,888.63","1,134.88","51,428,507.90","11,738.98"
, 666,Greene County,"2,473","29,700,521.69","12,009.92","2,655,243.52","1,073.69","4,154,134.25",,"1,679.80","2,715,858.32","1,098.20","2,764,223.36","1,117.76","2,064,147.77",834.67,"5,538,519.87","2,239.60","49,592,648.78","20,053.64"
, 667,Gwinnett County,"192,811","1,806,157,717.07","9,367.50","95,119,962.66",493.33,"103,416,820.43",,536.36,"148,292,562.86",769.11,"194,602,068.95","1,009.29","167,026,296.52",866.27,"180,026,584.86",933.69,"2,694,642,013.35","13,975.55"
, 668,Habersham County,"7,361","70,366,247.73","9,559.33","4,274,432.75",580.69,"4,490,644.52",,610.06,"3,083,927.08",418.95,"6,588,846.07",895.10,"6,845,351.46",929.95,"9,693,410.04","1,316.86","105,342,859.65","14,310.94"
, 669,Hall County,"28,665","248,607,475.11","8,672.86","20,181,097.82",704.03,"21,380,796.86",,745.89,"13,094,908.30",456.83,"22,162,745.19",773.16,"24,997,590.18",872.06,"30,069,035.95","1,048.98","380,493,649.41","13,273.81"
, 670,Hancock County,628,"5,467,226.14","8,705.77","447,939.93",713.28,"1,263,164.36",,"2,011.41","1,763,167.95","2,807.59","1,035,848.69","1,649.44","845,148.22","1,345.78","2,466,490.99","3,927.53","13,288,986.28","21,160.80"
, 671,Haralson County,"3,375","31,505,841.85","9,335.06","2,793,835.05",827.80,"3,768,054.67",,"1,116.46","1,765,630.74",523.15,"3,210,897.39",951.38,"3,172,834.76",940.10,"4,270,156.04","1,265.23","50,487,250.50","14,959.18"
, 672,Harris County,"5,418","48,217,338.93","8,899.47","4,083,106.89",753.62,"3,250,730.48",,599.99,"3,661,156.46",675.74,"4,606,553.17",850.23,"7,356,883.94","1,357.86","6,115,275.06","1,128.70","77,291,044.93","14,265.61"
, 673,Hart County,"3,653","30,469,868.75","8,341.05","2,538,638.42",694.95,"2,719,654.55",,744.50,"1,990,855.33",544.99,"2,871,373.25",786.03,"3,015,921.79",825.60,"4,776,138.40","1,307.46","48,382,450.49","13,244.58"
, 674,Heard County,"2,118","18,457,585.97","8,714.63","1,236,532.21",583.82,"1,033,639.42",,488.03,"2,221,317.12","1,048.78","2,282,881.58","1,077.85","1,334,339.81",630.00,"3,487,704.23","1,646.70","30,054,000.34","14,189.81"
, 675,Henry County,"43,144","375,736,736.59","8,708.90","37,457,903.44",868.21,"33,962,448.18",,787.19,"16,924,043.27",392.27,"40,470,927.37",938.04,"28,335,419.61",656.76,"54,137,794.97","1,254.82","587,025,273.43","13,606.19"
, 676,Houston County,"30,159","280,190,443.57","9,290.44","21,396,895.43",709.47,"20,047,452.66",,664.73,"17,268,159.14",572.57,"29,506,117.29",978.35,"20,450,007.29",678.07,"35,789,592.57","1,186.70","424,648,667.95","14,080.33"
, 677,Irwin County,"1,528","14,912,771.49","9,759.67","1,240,527.13",811.86,"1,480,264.59",,968.76,"1,189,967.74",778.77,"1,069,340.37",699.83,"794,988.94",520.28,"2,012,539.76","1,317.11","22,700,400.02","14,856.28"
, 678,Jackson County,"11,132","99,249,974.72","8,915.74","5,920,886.21",531.88,"6,492,263.89",,583.21,"7,524,044.63",675.89,"8,589,127.50",771.57,"11,807,381.56","1,060.67","14,208,372.90","1,276.35","153,792,051.41","13,815.31"
, 679,Jasper County,"2,622","23,218,044.26","8,855.09","2,377,735.37",906.84,"1,720,516.96",,656.18,"2,595,530.87",989.90,"2,176,855.64",830.23,"2,972,045.85","1,133.50","2,759,015.42","1,052.26","37,819,744.37","14,424.00"
, 680,Jeff Davis County,"2,957","24,265,401.23","8,206.09","2,206,006.54",746.03,"2,500,002.71",,845.45,"1,598,180.69",540.47,"1,973,310.19",667.34,"2,348,349.09",794.17,"3,717,089.33","1,257.05","38,608,339.78","13,056.60"
, 681,Jefferson County,"1,941","17,591,593.75","9,063.16","1,154,047.71",594.56,"3,185,246.47",,"1,641.03","1,156,486.29",595.82,"1,990,052.95","1,025.27","1,987,144.92","1,023.77","3,076,568.02","1,585.04","30,141,140.11","15,528.65"
, 682,Jenkins County,"1,695","12,785,952.49","7,543.33","581,882.60",343.29,"975,147.65",,575.31,"742,595.13",438.11,"1,392,021.54",821.25,"1,265,197.28",746.43,"1,779,326.82","1,049.75","19,522,123.51","11,517.47"
, 683,Johnson County,991,"8,963,018.83","9,044.42","276,992.82",279.51,"1,277,391.59",,"1,288.99","716,051.87",722.55,"1,070,389.18","1,080.11","1,139,678.96","1,150.03","1,797,644.59","1,813.97","15,241,167.84","15,379.58"
, 684,Jones County,"4,788","44,634,689.24","9,322.20","3,406,490.98",711.46,"5,152,961.61",,"1,076.22","1,709,676.81",357.08,"4,369,755.46",912.65,"4,218,440.78",881.04,"6,267,847.37","1,309.07","69,759,862.25","14,569.72"
, 685,Lamar County,"2,772","23,792,846.81","8,583.28","1,526,210.19",550.58,"1,217,697.57",,439.28,"1,731,315.90",624.57,"1,932,441.93",697.13,"1,994,544.65",719.53,"2,756,826.30",994.53,"34,951,883.35","12,608.90"
, 686,Lanier County,"1,560","13,058,219.38","8,370.65","1,433,917.71",919.18,"1,457,151.35",,934.07,"1,301,214.38",834.11,"1,079,765.09",692.16,"1,381,425.43",885.53,"2,987,138.54","1,914.83","22,698,831.88","14,550.53"
, 687,Laurens County,"6,070","57,829,900.50","9,527.17","5,575,082.63",918.47,"2,632,447.47",,433.68,"5,447,453.88",897.44,"5,093,348.66",839.10,"4,349,429.70",716.55,"7,422,620.85","1,222.84","88,350,283.69","14,555.25"
, 688,Lee County,"5,733","47,471,226.40","8,280.35","3,232,556.19",563.85,"4,570,510.29",,797.23,"1,854,593.65",323.49,"4,137,817.29",721.75,"4,389,698.08",765.69,"7,177,817.52","1,252.02","72,834,219.42","12,704.38"
, 689,Liberty County,"10,592","86,592,802.10","8,175.30","10,451,722.29",986.76,"8,941,148.54",,844.14,"5,612,852.64",529.91,"8,850,321.23",835.57,"8,661,407.92",817.73,"11,254,106.56","1,062.51","140,364,361.28","13,251.92"
, 690,Lincoln County,"1,195","11,518,697.84","9,639.08","561,137.33",469.57,"955,087.72",,799.24,"756,866.46",633.36,"1,271,110.37","1,063.69","1,571,069.49","1,314.70","1,997,594.10","1,671.63","18,631,563.31","15,591.27"
, 691,Long County,"4,574","30,988,029.33","6,774.82","1,745,360.05",381.58,"3,035,980.28",,663.75,"1,608,045.87",351.56,"3,125,578.34",683.34,"3,672,377.08",802.88,"4,506,011.70",985.14,"48,681,382.65","10,643.07"
, 692,Lowndes County,"10,372","87,862,126.96","8,471.09","5,968,021.42",575.40,"8,338,162.64",,803.91,"7,072,373.82",681.87,"6,481,084.59",624.86,"7,622,699.27",734.93,"11,902,253.83","1,147.54","135,246,722.53","13,039.60"
, 693,Lumpkin County,"3,765","33,938,693.66","9,014.26","3,673,812.51",975.78,"3,160,894.27",,839.55,"1,628,897.65",432.64,"3,175,352.25",843.39,"3,610,409.81",958.94,"5,614,430.03","1,491.22","54,802,490.18","14,555.78"
, 694,Macon County,988,"8,603,851.19","8,708.35","1,171,604.67","1,185.83","1,658,147.37",,"1,678.29","1,755,501.55","1,776.82","1,326,956.25","1,343.07","1,025,222.52","1,037.67","2,129,389.43","2,155.25","17,670,672.98","17,885.28"
, 695,Madison County,"5,084","50,195,724.53","9,873.27","4,848,009.60",953.58,"2,738,347.86",,538.62,"3,399,641.49",668.69,"4,683,455.96",921.21,"5,398,590.74","1,061.88","5,702,745.95","1,121.70","76,966,516.13","15,138.95"
, 696,Marion County,"1,262","9,680,354.25","7,670.65","625,329.97",495.51,"1,181,342.71",,936.09,"1,151,595.22",912.52,"1,159,742.34",918.97,"1,316,911.40","1,043.51","2,073,295.16","1,642.86","17,188,571.05","13,620.11"
, 697,McDuffie County,"2,985","26,337,511.94","8,823.29","2,180,666.77",730.54,"2,487,566.84",,833.36,"2,101,045.21",703.87,"3,529,772.26","1,182.50","3,233,624.67","1,083.29","4,847,108.40","1,623.82","44,717,296.09","14,980.67"
, 698,McIntosh County,"1,337","11,547,359.30","8,636.77","912,306.39",682.35,"1,648,660.63",,"1,233.10","1,043,214.93",780.27,"1,273,624.92",952.60,"1,167,364.95",873.12,"2,580,977.27","1,930.42","20,173,508.39","15,088.63"
, 699,Meriwether County,"2,154","21,186,640.26","9,835.95","4,180,486.54","1,940.80","3,253,311.55",,"1,510.36","2,593,530.47","1,204.05","2,576,012.94","1,195.92","3,184,191.47","1,478.27","4,909,800.48","2,279.39","41,883,973.71","19,444.74"
, 700,Miller County,738,"7,150,300.33","9,688.75","515,847.01",698.98,"1,079,073.94",,"1,462.16","868,700.24","1,177.10","764,007.26","1,035.24","885,878.43","1,200.38","1,528,515.14","2,071.16","12,792,322.35","17,333.77"
, 701,Mitchell County,"1,154","13,821,534.94","11,977.07","1,200,234.77","1,040.06","2,617,068.10",,"2,267.82","1,704,356.22","1,476.91","2,019,764.90","1,750.23","1,509,925.12","1,308.43","2,772,167.38","2,402.22","25,645,051.43","22,222.74"
, 702,Monroe County,"4,556","42,492,050.33","9,326.61","2,419,703.85",531.10,"2,258,743.26",,495.77,"2,464,815.50",541.00,"2,931,195.16",643.37,"6,987,887.59","1,533.78","6,201,770.07","1,361.23","65,756,165.76","14,432.86"
, 703,Montgomery County,864,"8,752,813.64","10,130.57","689,134.50",797.61,"1,261,401.71",,"1,459.96","1,119,077.84","1,295.23","899,370.61","1,040.94","792,017.50",916.69,"1,517,417.51","1,756.27","15,031,233.31","17,397.27"
